AUC, Accuracy, AP, Precision, Recall, HR, CLL

monte_semi_single_cora,,,,,,
0.8607999999999999,0.76,0.8802308281751139,0.90625,0.58,0.90625,-1.905245785210306
deterministic_semi_single_cora,,,,,,
0.8637,0.77,0.8867754856885478,0.9090909090909091,0.6,0.9090909090909091,-1.8074068710893334
importance_sampling_semi_single_cora,,,,,,
0.9537,0.88,0.8931611679662375,0.9318181818181818,0.82,0.9318181818181818,-0.9476621774718988
monte_semi_single_ACM,,,,,,
0.9587,0.895,0.9679611451000821,0.9759036144578314,0.81,0.9759036144578314,-0.9615239998991336
deterministic_semi_single_ACM,,,,,,
0.9571999999999999,0.91,0.9676326292659324,0.9767441860465116,0.84,0.9767441860465116,-0.958326745164959
importance_sampling_semi_single_ACM,,,,,,
0.9934,0.955,0.9924836165257424,0.9789473684210527,0.93,0.9789473684210527,-0.3081819013056936
monte_semi_single_IMDB,,,,,,
0.8363,0.705,0.8243240407868098,0.8867924528301887,0.47,0.8867924528301887,-2.198838321921601
deterministic_semi_single_IMDB,,,,,,
0.839,0.705,0.830439040992035,0.8867924528301887,0.47,0.8867924528301887,-2.1870341785479104
importance_sampling_semi_single_IMDB,,,,,,
0.9579,0.885,0.8945419139457582,0.9325842696629213,0.83,0.9325842696629213,-0.5857150951259035
monte_semi_multi_cora,,,,,,
0.7152489598460153,0.5979180137391344,0.7532459505871409,0.46556337724272506,0.24949839743589744,0.4687300439093917,-52.347253398542435
deterministic_semi_multi_cora,,,,,,
0.7180248870140293,0.6060967655428863,0.7548051154534371,0.4797147852147852,0.2699489653067239,0.48223859473859476,-53.146041206377554
importance_sampling_semi_multi_cora,,,,,,
0.8568211137793236,0.8027725037773529,0.8717388304864372,0.7890612303384912,0.7269423609197316,0.8112290642919789,-13.288852779821926
monte_semi_multi_ACM,,,,,,
0.9654546270870418,0.8870676129426129,0.9673500031288353,0.9226921623358282,0.8009772588522589,0.9258609584859585,-3.8735549109203844
deterministic_semi_multi_ACM,,,,,,
0.960709028346162,0.8820725732600733,0.9639035061052647,0.9138454936536332,0.7973879731379732,0.9203253968253968,-3.970423250122694
importance_sampling_semi_multi_ACM,,,,,,
0.9807488412997514,0.943009996947497,0.982739681193806,0.9439446309624329,0.9538586691086691,0.9755352666339508,-1.143505593786774
monte_semi_multi_IMDB,,,,,,
0.8327361376801617,0.6975070575559706,0.8586534064890351,0.7286719976528161,0.42755106849672064,0.7286719976528161,-17.850393427172328
deterministic_semi_multi_IMDB,,,,,,
0.8307665745739257,0.694614269260329,0.8532211824249761,0.7174030292253977,0.43578943535329406,0.720736362558731,-17.827162695275618
importance_sampling_semi_multi_IMDB,,,,,,
0.9182901561050051,0.8503562767998909,0.9212287471921898,0.8612629872923552,0.8144064341455646,0.8931518249588103,-4.816421163998958

monte_fully_single_cora,,,,,,
0.7414000000000001,0.645,0.7510164903405165,0.8536585365853658,0.35,0.8536585365853658,-3.3673532543107143
deterministic_fully_single_cora,,,,,,
0.7397,0.66,0.7584109114879276,0.8636363636363636,0.38,0.8636363636363636,-3.372066546550359
importance_sampling_fully_single_cora,,,,,,
0.9450999999999999,0.825,0.861625659728093,0.922077922077922,0.71,0.922077922077922,-0.9598653433351922
monte_fully_single_ACM,,,,,,
0.974,0.865,0.96978457601315,0.9506172839506173,0.77,0.9506172839506173,-0.6723555904528458
deterministic_fully_single_ACM,,,,,,
0.9744,0.885,0.9710590153381673,0.9529411764705882,0.81,0.9529411764705882,-0.6240698570260429
importance_sampling_fully_single_ACM,,,,,,
0.9792,0.975,0.9250788765450547,0.9611650485436893,0.99,0.97,-0.1075277815976883
monte_fully_single_IMDB,,,,,,
0.8572,0.725,0.8437769033146969,0.9245283018867925,0.49,0.9245283018867925,-2.2196229636692593
deterministic_fully_single_IMDB,,,,,,
0.86,0.73,0.8496330588824197,0.9259259259259259,0.5,0.9259259259259259,-2.171027552431915
importance_sampling_fully_single_IMDB,,,,,,
0.9593999999999999,0.95,0.8737146308482433,0.9591836734693877,0.94,0.9591836734693877,-0.24006788921543448
monte_fully_multi_cora,,,,,,
0.6543104100417287,0.5893374542124542,0.7207664247305682,0.3603780141843972,0.24249725274725276,0.36154468085106384,-21.109767730259357
deterministic_fully_multi_cora,,,,,,
0.6391055447376189,0.5857293956043956,0.7138796204810871,0.3602387850244993,0.2540760073260073,0.36248237476808903,-20.95653832776472
importance_sampling_fully_multi_cora,,,,,,
0.8323851635772652,0.772228021978022,0.8585188438270602,0.7327301843024686,0.6855915750915751,0.7734169164169165,-5.766398738550994
monte_fully_multi_ACM,,,,,,
0.9578887278931181,0.8637009803921568,0.9661480554590058,0.8360714285714286,0.7707352941176471,0.845,-1.8983814251062068
deterministic_fully_multi_ACM,,,,,,
0.9582363273740869,0.8809926470588235,0.966855532690819,0.8590714285714286,0.799485294117647,0.8621666666666666,-1.8841909051183028
importance_sampling_fully_multi_ACM,,,,,,
0.9861022299115725,0.9512450980392156,0.9881516549073281,0.9451339869281046,0.984078431372549,0.9808006535947712,-0.325285305413382
monte_fully_multi_IMDB,,,,,,
0.8363054669166412,0.7022626262626263,0.8761590287878229,0.6119761904761905,0.45059343434343435,0.6169761904761905,-7.125324830497705
deterministic_fully_multi_IMDB,,,,,,
0.8540465290531578,0.7039924242424243,0.8898065537548624,0.6173333333333333,0.4528030303030303,0.6223333333333333,-7.086037982968263
importance_sampling_fully_multi_IMDB,,,,,,
0.9567857438016529,0.9127348484848485,0.9600679772594365,0.9003896851940331,0.9104696969696969,0.9195555555555556,-0.8007276860569125
monte_semi_single_cora,,,,,,
0.8607999999999999,0.76,0.8802308281751139,0.90625,0.58,0.90625,-1.869493882557321
monte_semi_single_ppi,,,,,,
0.8765000000000001,0.79,0.8822090530710831,0.7457627118644068,0.88,0.79,-0.3993700292703818
monte_semi_single_ppi,,,,,,
0.8765000000000001,0.79,0.8822090530710831,0.7457627118644068,0.88,0.79,-0.3993700292703818
monte_semi_single_cora,,,,,,
0.8555000000000001,0.76,0.8849424141228105,0.90625,0.58,0.90625,-1.869493882557321
monte_semi_single_cora,,,,,,
0.8555000000000001,0.76,0.8849424141228105,0.90625,0.58,0.90625,-0.9920529004669012
monte_semi_single_cora,,,,,,
0.8555000000000001,0.76,0.8849424141228105,0.90625,0.58,0.90625,-0.9920529004669012
monte_semi_multi_cora,,,,,,
0.631893295394425,0.5702749510427312,0.6734403423765358,0.5105617990926183,0.6055384168035031,0.5470401207954242,-0.5601152
monte_semi_multi_cora,,,,,,
0.631893295394425,0.5702749510427312,0.6734403423765358,0.5105617990926183,0.6055384168035031,0.5470401207954242,-15.60810310163048
monte_semi_multi_cora,,,,,,
0.7152489598460153,0.5979180137391344,0.7532459505871409,0.46556337724272506,0.24949839743589744,0.4687300439093917,-inf
monte_semi_multi_cora,,,,,,
0.7152489598460153,0.5979180137391344,0.7532459505871409,0.46556337724272506,0.24949839743589744,0.4687300439093917,-48.896964572744885
monte_semi_multi_ACM,,,,,,
0.9654546270870418,0.8870676129426129,0.9673500031288353,0.9226921623358282,0.8009772588522589,0.9258609584859585,-4.131067794488963

###################

deterministic_semi_single_cora,,,,,,
0.8607,0.77,0.8924069380048971,0.9090909090909091,0.6,0.9090909090909091,-0.9610095506991145
deterministic_semi_single_ACM,,,,,,
0.9569,0.92,0.9685925277988247,1.0,0.84,1.0,-0.4933845395396043
deterministic_semi_single_IMDB,,,,,,
0.8504,0.695,0.8309883158806917,0.8545454545454545,0.47,0.8545454545454545,-1.1961496144100128
deterministic_semi_single_citeseer,,,,,,
0.9459,0.88,0.9571946570426627,0.9418604651162791,0.81,0.9418604651162791,-0.5466027796719356
deterministic_fully_single_cora,,,,,,
0.749,0.67,0.7756503829809696,0.9047619047619048,0.38,0.9047619047619048,-1.7476951730422894
deterministic_fully_single_ACM,,,,,,
0.9768,0.89,0.977272757980693,0.9642857142857143,0.81,0.9642857142857143,-0.3416130385550209
deterministic_fully_single_IMDB,,,,,,
0.8855000000000001,0.725,0.9006799907510251,0.9090909090909091,0.5,0.9090909090909091,-1.1212398500974947
deterministic_fully_single_citeseer,,,,,,
0.9073,0.835,0.9238087337365148,0.935064935064935,0.72,0.935064935064935,-0.9122168618516561
