,q
average:,0.4482018725674189
average:,7.146496157791727e-50
average:,3.734838504528234e-10
average:,0.06359784528234451
average:,1.069773285337245e-48
average:,4.131915636068441e-05
average:,1.276044724544802e-21
average:,0.12394516502252756
average:,0.5135458266035953
average:,3.960348684438642e-14
average:,0.0013828080868546766
average:,0.1060087954115396
average:,0.29753398575474865
average:,0.29625385043896046
average:,0.09751867656311079
average:,4.013329022466456e-06
average:,9.384117878270942e-15
average:,4.81997533722976e-06
average:,0.04020332948296812
average:,0.0038625781762929925
average:,0.0840376392281174
average:,0.30728568104094356
average:,0.18171763968507568
average:,0.05709958507082664
average:,0.652052974494224
average:,0.05479201902218312
average:,0.006670231197259115
average:,0.19997887429227196
average:,0.7720473923259301
average:,0.48356424356951544
average:,1.654223657230623e-22
average:,0.4570710791933204
average:,0.33082717793300903
average:,9.667884050480796e-06
average:,0.17740325886507716
average:,1.0465586192236428e-08
average:,1.8849936317295522e-16
average:,0.004118137066658372
average:,0.5851545982309269
average:,0.021455817276103146
average:,6.996130771211954e-44
average:,0.09579426787897159
average:,1.967681056466262e-19
average:,0.09025874791296484
average:,0.0035455805670222785
average:,0.04149106337512841
average:,0.0023346728950216183
average:,7.291011400528551e-06
average:,0.2930549129335314
average:,0.00041356960545534414
average:,0.120231222316084
average:,0.6933831507885094
average:,0.04019641191597548
average:,7.265848321798088e-11
average:,0.12386649731343596
average:,1.860728504872651e-08
average:,0.006774911459023841
average:,0.039710328358066385
average:,0.0011853957278529492
average:,0.07875737965736193
average:,0.005921069247894915
average:,0.0027921912456495292
average:,0.0060827061261294795
average:,0.0061261527094733466
average:,0.8808817587937189
average:,0.12661593516300604
average:,0.3227446385434959
average:,4.435056610235045e-08
average:,0.07689431114829307
average:,1.1083043569788446e-10
average:,0.020210174874924377
average:,0.06596721205941518
average:,0.20610110014730157
average:,1.13955157175802e-05
average:,0.06296627279639375
average:,2.2690555486267434e-16
average:,0.26429206497993707
average:,8.780302948908639e-06
average:,0.2507071716126999
average:,0.6193313347351722
average:,0.03974879042732012
average:,0.009307372245329246
average:,5.96054513045979e-12
average:,0.5128878415461441
average:,0.003047602812796488
average:,1.4418252212096712e-06
average:,1.2863910925269365e-05
average:,3.2043044582946357e-12
average:,0.0020492694812318797
average:,0.00048460927030030237
average:,0.2042116423189128
average:,0.0003090112123638313
average:,9.713144296588824e-05
average:,6.436691957476242e-06
average:,4.349196624093605e-49
average:,0.01045823257769188
average:,6.522023175111973e-05
average:,0.1802648115385381
average:,0.6472569499280127
average:,0.5287393559619326
